RockNumber,RockOilbearingArea
1,0.006678385416666667
100,0.0
103,1.0416666666666666e-05
113,0.00024348958333333332
12,0.0017421875
122,0.0074127604166666665
123,0.00232421875
124,0.00010807291666666666
126,0.000140625
133,0.007421875
137,0.01083984375
143,9.635416666666667e-05
144,0.00084375
146,3.515625e-05
153,0.00015364583333333333
154,2.8645833333333333e-05
155,0.009048177083333333
162,0.00026171875
169,5.46875e-05
17,0.0
179,0.0007591145833333333
189,0.0015208333333333332
197,0.007334635416666666
199,0.0010416666666666667
20,0.0
204,0.00024869791666666665
207,0.00034114583333333333
210,0.00024739583333333335
223,0.0006861979166666667
226,0.0010130208333333334
23,0.00305859375
234,8.854166666666667e-05
240,0.0003802083333333333
247,0.0005872395833333334
250,0.002921875
261,0.0004388020833333333
262,0.00566015625
266,0.0005130208333333333
269,6.25e-05
271,0.00022916666666666666
272,0.0009830729166666666
277,1.0416666666666666e-05
287,0.0003333333333333333
298,8.723958333333333e-05
299,0.0008307291666666667
315,0.0011393229166666667
322,0.002229557057450388
323,0.0037865186877754204
324,0.005494769171705538
326,0.0
329,0.005467604443671248
341,0.007023220919617113
35,0.01258984375
350,0.010142199916352991
37,0.012497395833333333
38,6.119791666666666e-05
4,0.011834635416666666
40,0.00013802083333333334
44,7.161458333333333e-05
50,0.00036848958333333335
52,0.0045690104166666665
53,0.016545572916666668
6,0.000140625
62,0.00149609375
64,0.027479166666666666
71,0.0012369791666666666
87,0.0005026041666666667
89,0.0
94,1.0416666666666666e-05
99,5.208333333333334e-05
